variable,zone,month,value,unit
huss,中部沿海（25–35°N）,8,19.293315173945906,g/kg
huss,中部沿海（25–35°N）,9,15.709000591862814,g/kg
huss,中部沿海（25–35°N）,10,10.524235214972668,g/kg
huss,中部沿海（25–35°N）,11,6.933977058682834,g/kg
huss,中部沿海（25–35°N）,12,4.729489193384056,g/kg
huss,南部沿海（<25°N）,1,8.619303097030471,g/kg
huss,南部沿海（<25°N）,2,9.208897530287894,g/kg
huss,南部沿海（<25°N）,3,11.901853407723175,g/kg
huss,南部沿海（<25°N）,4,15.148893781423018,g/kg
huss,南部沿海（<25°N）,5,17.607485858050488,g/kg
huss,南部沿海（<25°N）,6,19.526337845987175,g/kg
huss,南部沿海（<25°N）,7,20.186559418978714,g/kg
huss,南部沿海（<25°N）,8,20.289893203661048,g/kg
huss,南部沿海（<25°N）,9,18.96468744114339,g/kg
huss,南部沿海（<25°N）,10,14.99478142643751,g/kg
huss,南部沿海（<25°N）,11,11.134139551983564,g/kg
huss,南部沿海（<25°N）,12,8.885250728018166,g/kg
rsds,北部沿海（≥35°N）,1,107.02898863382784,W/m2
rsds,北部沿海（≥35°N）,2,149.59854774159552,W/m2
rsds,北部沿海（≥35°N）,3,192.50303656224867,W/m2
rsds,北部沿海（≥35°N）,4,228.54769318752278,W/m2
rsds,北部沿海（≥35°N）,5,243.26339719179208,W/m2
rsds,北部沿海（≥35°N）,6,226.93154469005069,W/m2
rsds,北部沿海（≥35°N）,7,200.48861152762635,W/m2
rsds,北部沿海（≥35°N）,8,192.41504858471998,W/m2
rsds,北部沿海（≥35°N）,9,176.4706350149952,W/m2
rsds,北部沿海（≥35°N）,10,147.8269211359892,W/m2
rsds,北部沿海（≥35°N）,11,108.07044123080497,W/m2
rsds,北部沿海（≥35°N）,12,94.51162428423608,W/m2
rsds,中部沿海（25–35°N）,1,102.4611024276678,W/m2
rsds,中部沿海（25–35°N）,2,125.61726217539406,W/m2
rsds,中部沿海（25–35°N）,3,138.11786513804887,W/m2
rsds,中部沿海（25–35°N）,4,178.86218066451644,W/m2
rsds,中部沿海（25–35°N）,5,200.3102261558847,W/m2
rsds,中部沿海（25–35°N）,6,178.48163085328258,W/m2
rsds,中部沿海（25–35°N）,7,209.89118428372313,W/m2
rsds,中部沿海（25–35°N）,8,189.551073618604,W/m2
rsds,中部沿海（25–35°N）,9,159.71866689668732,W/m2
rsds,中部沿海（25–35°N）,10,144.3179584723103,W/m2
rsds,中部沿海（25–35°N）,11,119.38797315217892,W/m2
rsds,中部沿海（25–35°N）,12,107.98269195320692,W/m2
rsds,南部沿海（<25°N）,1,117.2282509826264,W/m2
rsds,南部沿海（<25°N）,2,125.23538000070359,W/m2
rsds,南部沿海（<25°N）,3,143.82388514210476,W/m2
rsds,南部沿海（<25°N）,4,176.1233330437437,W/m2
rsds,南部沿海（<25°N）,5,196.16437490352084,W/m2
rsds,南部沿海（<25°N）,6,180.87094493997355,W/m2
rsds,南部沿海（<25°N）,7,220.0213075645436,W/m2
rsds,南部沿海（<25°N）,8,198.08692873780024,W/m2
rsds,南部沿海（<25°N）,9,187.71956153834887,W/m2
rsds,南部沿海（<25°N）,10,172.08311866427655,W/m2
rsds,南部沿海（<25°N）,11,141.11123027762503,W/m2
rsds,南部沿海（<25°N）,12,128.1651787402854,W/m2
sfcwind,北部沿海（≥35°N）,1,2.9594247084890184,m/s
sfcwind,北部沿海（≥35°N）,2,3.270576398574115,m/s
sfcwind,北部沿海（≥35°N）,3,3.5676636349896866,m/s
sfcwind,北部沿海（≥35°N）,4,3.700089029685311,m/s
sfcwind,北部沿海（≥35°N）,5,3.291788911069907,m/s
sfcwind,北部沿海（≥35°N）,6,2.90531727872978,m/s
sfcwind,北部沿海（≥35°N）,7,2.6802449314106105,m/s
sfcwind,北部沿海（≥35°N）,8,2.510324065862639,m/s
sfcwind,北部沿海（≥35°N）,9,2.710235907550186,m/s
sfcwind,北部沿海（≥35°N）,10,2.9882697640371743,m/s
sfcwind,北部沿海（≥35°N）,11,3.1946726170566446,m/s
sfcwind,北部沿海（≥35°N）,12,3.138870924671563,m/s
sfcwind,中部沿海（25–35°N）,1,2.6665381886797626,m/s
sfcwind,中部沿海（25–35°N）,2,2.7533576179554964,m/s
sfcwind,中部沿海（25–35°N）,3,2.873288167100491,m/s
sfcwind,中部沿海（25–35°N）,4,2.8509336040666797,m/s
sfcwind,中部沿海（25–35°N）,5,2.7745359131855305,m/s
sfcwind,中部沿海（25–35°N）,6,2.6688923943057796,m/s
sfcwind,中部沿海（25–35°N）,7,2.580839397856914,m/s
sfcwind,中部沿海（25–35°N）,8,2.48712122548804,m/s
sfcwind,中部沿海（25–35°N）,9,2.647649177571101,m/s
sfcwind,中部沿海（25–35°N）,10,2.7112124604853753,m/s
sfcwind,中部沿海（25–35°N）,11,2.804840205819874,m/s
sfcwind,中部沿海（25–35°N）,12,2.734482539926522,m/s
sfcwind,南部沿海（<25°N）,1,2.7083731091749788,m/s
sfcwind,南部沿海（<25°N）,2,2.68807232607782,m/s
sfcwind,南部沿海（<25°N）,3,2.7388683678314756,m/s
sfcwind,南部沿海（<25°N）,4,2.6759993168867515,m/s
sfcwind,南部沿海（<25°N）,5,2.322456472031665,m/s
sfcwind,南部沿海（<25°N）,6,2.4472586020050975,m/s
sfcwind,南部沿海（<25°N）,7,2.5373654389063023,m/s
sfcwind,南部沿海（<25°N）,8,2.021589500466037,m/s
sfcwind,南部沿海（<25°N）,9,2.0533425351910344,m/s
sfcwind,南部沿海（<25°N）,10,2.7252206992237937,m/s
sfcwind,南部沿海（<25°N）,11,3.0191491708639044,m/s
sfcwind,南部沿海（<25°N）,12,2.8440675627051006,m/s
ps,北部沿海（≥35°N）,1,1009.4884360842289,hPa
ps,北部沿海（≥35°N）,2,1006.0981030293422,hPa
ps,北部沿海（≥35°N）,3,1001.8691402201661,hPa
ps,北部沿海（≥35°N）,4,995.6144199840251,hPa
ps,北部沿海（≥35°N）,5,992.2322839164206,hPa
ps,北部沿海（≥35°N）,6,989.5908791849336,hPa
ps,北部沿海（≥35°N）,7,987.2298376078868,hPa
ps,北部沿海（≥35°N）,8,990.4129757834364,hPa
ps,北部沿海（≥35°N）,9,996.7516379688632,hPa
ps,北部沿海（≥35°N）,10,1002.643597533748,hPa
ps,北部沿海（≥35°N）,11,1005.9352779152566,hPa
ps,北部沿海（≥35°N）,12,1008.2423911763863,hPa
ps,中部沿海（25–35°N）,1,1002.3108760465915,hPa
ps,中部沿海（25–35°N）,2,999.9769129408498,hPa
ps,中部沿海（25–35°N）,3,995.5220118987925,hPa
ps,中部沿海（25–35°N）,4,991.259145689715,hPa
ps,中部沿海（25–35°N）,5,987.4028778234194,hPa
ps,中部沿海（25–35°N）,6,984.2299773054964,hPa
ps,中部沿海（25–35°N）,7,983.0200197460425,hPa
ps,中部沿海（25–35°N）,8,983.5838695009461,hPa
ps,中部沿海（25–35°N）,9,989.2507769158437,hPa
ps,中部沿海（25–35°N）,10,995.784506400082,hPa
ps,中部沿海（25–35°N）,11,999.782955185544,hPa
ps,中部沿海（25–35°N）,12,1002.5871843513756,hPa
ps,南部沿海（<25°N）,1,991.0258370579926,hPa
ps,南部沿海（<25°N）,2,988.719771523122,hPa
ps,南部沿海（<25°N）,3,985.1313965588654,hPa
ps,南部沿海（<25°N）,4,982.3376645833116,hPa
ps,南部沿海（<25°N）,5,979.7232117293862,hPa
ps,南部沿海（<25°N）,6,977.6068979817004,hPa
ps,南部沿海（<25°N）,7,978.0537703573061,hPa
ps,南部沿海（<25°N）,8,977.1427524730348,hPa
ps,南部沿海（<25°N）,9,980.5424045515032,hPa
ps,南部沿海（<25°N）,10,985.2041691672345,hPa
ps,南部沿海（<25°N）,11,988.7029615507122,hPa
ps,南部沿海（<25°N）,12,991.0123085135132,hPa
